,E,tot>50keV,tot>200keV,tot>500keV,fe,se,de,511
723,7280,0.10034386705057907,0.08586657822016189,0.07139355255674915,0.01140013488660402,0.006607056223499088,0.0009238282898646615,0.004722310090831036
724,7290,0.10059887022973585,0.08603084722548729,0.07154075997151725,0.01136286203924214,0.006621131746340001,0.0009011587299964908,0.0047368326911086805
725,7300,0.10033937416799724,0.08573356426262804,0.07128176394584479,0.011337573276868823,0.006536473257000736,0.000908741660827491,0.004774722687016354
726,7310,0.10046848231365578,0.08606848435367673,0.07141433378227961,0.011298316090197828,0.006550592307335958,0.0009239594936837976,0.004739436197706931
727,7320,0.10048226767278144,0.08601041637035305,0.07141119443509214,0.011319003571047976,0.006533264326754923,0.0009595254340048171,0.004785526959904998
728,7330,0.10054518171168565,0.0858650592557468,0.07131217696902041,0.011281537536274052,0.006543537768699427,0.0009203705573034585,0.004768961542082989
729,7340,0.10091095518947868,0.08625728764151583,0.0716998000135584,0.011397956070774862,0.006618195376584638,0.0009062944885092536,0.004818952952342214
730,7350,0.10057881760367396,0.08596256203506766,0.07157233103710993,0.011210226130387396,0.006701162926044676,0.0009375363745066294,0.004773393437245379
731,7360,0.10076960188821174,0.08602915277830045,0.07147432821040606,0.011333245101774258,0.006603836212346019,0.0009539156418909348,0.004775709316195551
732,7370,0.10093376542406789,0.08628903220574097,0.07171906442668848,0.011366458787769219,0.006613995752309281,0.000928443138560212,0.004796815414690522
733,7380,0.10117907788699386,0.08653153955282641,0.07192155684529361,0.011272595617047385,0.006580674127717825,0.0009055547725605932,0.004745512102617163
734,7390,0.10118483302441202,0.08640382289598028,0.07182979074989683,0.011300323366212341,0.006598002810010653,0.000923602361150865,0.004931851129294635
735,7400,0.10120914813864966,0.08640610583383551,0.07187931511504657,0.01136253093617704,0.006550868402756284,0.000942876983400059,0.004769340453549517
736,7410,0.10115890961194954,0.08643947865053583,0.07174865443139472,0.011204587848360708,0.006664529574743948,0.0009343466851096017,0.004812663699979218
737,7420,0.10108612148220869,0.08645264755769758,0.07177042340414444,0.011242391181924088,0.006578339096506962,0.0009241530488225139,0.004760712022310794
738,7430,0.10106213928345167,0.0862424015204726,0.07164349670073064,0.011132751246803485,0.00655613544028673,0.0009248953877402451,0.004839222281792072
739,7440,0.10108144721417772,0.08634172222094069,0.07168587911362011,0.011243108578810177,0.006562079935243184,0.0008937614944396795,0.004860745584142968
740,7450,0.10130052959710398,0.08652460280217202,0.07178973654220018,0.011212877924515653,0.006581836160085808,0.0009749782127773681,0.004850380438425957
741,7460,0.10107595471832052,0.08642922498277619,0.07186118484773144,0.011261821228947392,0.0065094716328175815,0.00090283759722142,0.004869337592617241
742,7470,0.10120553666263998,0.08643895650894044,0.07172255303989172,0.011179365340204195,0.006561437796173108,0.0009357951687379184,0.004875710261424708
743,7480,0.10092720731272789,0.08620851700715508,0.07160678757357569,0.011207775558770124,0.006580302201830187,0.0008989278447494802,0.00483257260032841
